Dataset, Complejidad, Tamaño, Modelo, Accuracy
BCW, 1, 1, 1, 0.971
BCW, 1, 1, 1, 0.990
BCW, 1, 1, 2, 1.0
BCW, 1, 1, 4, 0.981
WQ, 2, 2, 1, 0.362
WQ, 2, 2, 1, 0.386
WQ, 2, 2, 2, 0.441
WQ, 2, 2, 4, 0.360
MNIST, 1, 2, 2, 0.981
MNIST, 1, 2, 3, 0.967
MNIST, 1, 2, 4, 0.894
FMNIST, 2, 3, 2, 0.849
FMNIST, 2, 3, 3, 0.841
FMNIST, 2, 3, 4, 0.803
CIFAR, 1, 2, 2, 0.360
CIFAR, 1, 2, 3, 0.382
CIFAR, 1, 2, 4, 0.283
